Object;Property;Min;Max;Mean;Std_dev;P10;P20;P30;P40;P50;P60;P70;P80;P90
SparseH1;GemPy_error_m (m);-0.03753209114074707;0.03360986337065697;0.00034076846680942583;0.01475880819817651;-0.0195603484287858;-0.01367127299308777;-0.005107195070013406;-0.0016262878780253232;0.0015654010348953307;0.0053428668063133945;0.007624001055955887;0.012227798067033295;0.01688603591173888
SparseH2;GemPy_error_m (m);-0.014751997776329517;0.057793643325567245;0.0020211735363006144;0.011878480235097955;-0.00926919151097536;-0.007306522456929087;-0.005030782427638769;-0.0017190219950862216;0.002074417658150196;0.0033199514728039503;0.004677321854978799;0.00688953441567719;0.011209060810506348
SparseH4;GemPy_error_m (m);-0.005161966662853956;0.005460081622004509;-0.00020158116405417042;0.002368519627393336;-0.0037175719859078526;-0.0023687537759542465;-0.00125358821824193;-0.0003396584113943388;0.00020622185547836125;0.00043471748358570023;0.0012156546115875244;0.001666619838215411;0.0022242147242650403
SparseH5;GemPy_error_m (m);-0.01446433924138546;0.00980647373944521;-0.00009470402118295613;0.005021916745662356;-0.005696224980056285;-0.0035629719728603954;-0.002508330624550581;-0.0020276870811358092;-0.0009089178638532758;0.001552248606458305;0.0029863714240491385;0.003639272297732537;0.006490999367088076
SparseH7;GemPy_error_m (m);-0.0165240615606308;0.01159118115901947;-0.0007131951140845456;0.0051763831809548905;-0.006478466466069222;-0.004476791201159358;-0.003206498129293323;-0.0022427009535022076;-0.0006726299179717898;0.0013835306046530603;0.0027376324404031036;0.003611718327738345;0.005389733333140613
SparseH9;GemPy_error_m (m);-0.06567960232496262;0.07111024856567383;0.0003918490250119551;0.01627119365549957;-0.009060076298192141;-0.00547215575352311;-0.0036489733029156923;-0.002963977982290089;-0.0010607937001623213;0.0005880174285266542;0.0036306083900853967;0.005337690515443684;0.012893274985253826
SparseH1;SurfE_MQ_error_m (m);-0.0029148191679269075;0.004185400903224945;0.00022268445513873303;0.0012467236805352438;-0.0009418922592885792;-0.0005168911011423916;-0.0001563300538691692;-0.000015991882355592674;0.00006387302710209042;0.00012499930307967587;0.00018077363056363525;0.0008372460608370604;0.001702262344770134
SparseH2;SurfE_MQ_error_m (m);-0.004665212705731392;0.0023673614487051964;-0.00013820873785455232;0.0009341952764000377;-0.0007344768266193568;-0.00043751920456998046;-0.00038487917627207937;-0.0002904389082686975;-0.00026573403738439083;-0.00017073793860618026;0.000006790241059206869;0.0003105208772467453;0.0009784059599041947
SparseH4;SurfE_MQ_error_m (m);-0.0003428424533922225;0.0008085564477369189;-0.00006205209311619083;0.00024876037864249615;-0.0002772404986899346;-0.00021702685044147076;-0.0001889792431029491;-0.00015160085749812424;-0.00012640804197872058;-0.00008638786312076264;-0.00003208047855878251;0.000010397970800113403;0.00013079348645987952
SparseH5;SurfE_MQ_error_m (m);-0.0005991738871671259;0.0013431250117719173;0.000005919034747865048;0.0002879151966120602;-0.00021453214285429564;-0.0001723179724649526;-0.00013167670695111156;-0.00007601605757372442;-0.000054037198424339294;0.000014829261908744206;0.00010071336437249554;0.0001363971721730195;0.00018433481454849232
SparseH7;SurfE_MQ_error_m (m);-0.001292207627557218;0.0009214873425662518;0.000028829179759821762;0.0003121505933518165;-0.00029086758149787784;-0.00016271007625618948;-0.00007445391674991697;0.000009678770129539782;0.000058965484640793875;0.00008590409634052774;0.00010895385639742017;0.00020333393622422603;0.000371110293781385
SparseH9;SurfE_MQ_error_m (m);-0.006012062542140484;0.0018666296964511275;-0.00019903799504087752;0.001447539290748303;-0.0012434484786353998;-0.00021680786012439053;-0.00012355386279523374;0.000005608579704130624;0.000052906312703271396;0.00014690364187117664;0.00019697522511705754;0.00024061335570877418;0.0007634770241566004
SparseH1;SurfE_R3_error_m (m);-0.0027825525030493736;0.003628858830779791;0.00014048312178519237;0.0010046922196584598;-0.0006758183939382434;-0.0002859184533008374;-0.00018329694721614946;-0.0001106858195271343;0.00009061431046575308;0.00017489595047663896;0.00027405968285165727;0.00034805877367034566;0.0011389258084818722
SparseH2;SurfE_R3_error_m (m);-0.0018044557655230165;0.0031121287029236555;-0.00002361785686022254;0.0006867764607527707;-0.0005530690657906234;-0.00039653735584579405;-0.0002983681042678655;-0.00019970630382886155;-0.00013661863340530545;-0.0000754174659959972;0.000045855710777686884;0.00019722511060535935;0.0005319235031493012
SparseH4;SurfE_R3_error_m (m);-0.00022490895935334265;0.0005561276921071112;-0.0000014991210315946029;0.00014274419199622568;-0.00014954320213291794;-0.0001034161337884143;-0.00007779422885505483;-0.00005371999613998923;-0.00002200003928010119;0.000010108586639034903;0.000034679233431234016;0.00004867855932388924;0.00018771885515889156
SparseH5;SurfE_R3_error_m (m);-0.0003136746818199754;0.001047691097483039;0.000009015636994551708;0.0002244037162988106;-0.00021342263207770883;-0.00015376298979390411;-0.00009053321555256845;-0.00006160296543384902;-0.000018990096577908844;0.000014737817764398633;0.00008764535596128553;0.00012948450166732077;0.00021097180142533024
SparseH7;SurfE_R3_error_m (m);-0.00046780440607108176;0.0013850490795448422;-0.000017568871156614028;0.00030681117160500623;-0.00028432945255190133;-0.00019456816953606905;-0.00016348345088772477;-0.0001304649718804285;-0.0001014449808280915;-0.00005185451009310783;0.00001414618818671442;0.00014002546085976067;0.00034060471225529933
SparseH9;SurfE_R3_error_m (m);-0.0025251004844903946;0.001956193707883358;-0.00003806296361119621;0.0007589809587964121;-0.0007312415778869759;-0.00027846448938362295;-0.00014261226024245852;-0.00007762054592603812;-0.000014887824704601371;0.000021423779617180107;0.00007304437531274737;0.00023901407112134624;0.0009007338841911412
